0.03333,MOT_control_all,zoom1,,
0.03333,MOT_mc_back_00,l2,,
0.03333,MOT_mc_light_up_00,l2,,
0.03333,MOT_all,cut1,,
2.89971,1,1-2,,
2.89971,2,1-2,,
3.29967,1,lp2,,
3.29967,2,lp2,,
5.3994599999999995,1,2-3,,
6.09939,1,j3-4,,
6.09939,2,j2-3,,
6.49935,1,lp4,,
6.49935,2,lp3,,
8.63247,2,3-4,,
9.36573,1,j4-1,,
9.36573,2,j4-1,,
9.76569,1,lp1,,
9.76569,2,lp1,,
11.098889999999999,1,j1-2,,
11.098889999999999,2,j1-2,,
11.49885,1,lp2,,
11.49885,2,lp2,,
11.932139999999999,1,2-3,,
11.932139999999999,2,2-3,,
12.26544,1,lp3,,
12.26544,2,lp3,,
15.365129999999999,1,3-4,,
15.365129999999999,2,3-4,,
16.23171,1,4-1,,
16.23171,2,4-1,,
17.164949999999997,2,w1,,
17.164949999999997,1,w1,,
17.6649,1,1-2,,
17.9982,2,1-2,,
18.09819,MOT_mc_stage_color_00,b-flash,,
18.364829999999998,1,2-3,,
18.73146,1,3-4,,
18.73146,2,2-3,,
19.09809,1,j4-1,,
19.09809,2,j3-4,,
19.398059999999997,MOT_mc_stage_color_00,b-flash,,
19.89801,1,,l1,
19.89801,2,,l1,
20.164649999999998,2,w4,,
20.164649999999998,1,w1,,
20.597939999999998,1,,l2,
20.597939999999998,2,,l2,
21.09789,1,1-2,,
21.09789,2,4-1,,
21.431189999999997,1,lp2,,
21.431189999999997,2,lp1,,
21.797819999999998,1,j2-3,,
21.797819999999998,2,j1-2,,
22.597739999999998,1,,lb1,
22.597739999999998,2,,lb1,
22.86438,2,w2,,
22.86438,1,w3,,
23.29767,1,,lb0,
23.29767,2,,lb0,
23.79762,1,3-4,,
23.79762,2,2-3,,
24.13092,1,lp4,,
24.13092,2,lp3,,
24.56421,2,3-4,,
24.864179999999998,1,4-1,,
25.19748,1,sj1,,
25.19748,2,sj4,,
25.53078,1,lp1,,
25.53078,2,lp4,,
25.864079999999998,1,1-2,,
26.16405,2,4-1,,
26.53068,1,sj2,,
26.53068,2,sj1,,
26.897309999999997,1,lp2,,
26.897309999999997,2,lp1,,
27.297269999999997,1,2-3,,
27.297269999999997,2,1-2,,
27.79722,1,3-4,,
