time,lyrics,size
0,,
4.15,"I don't wanna say goodbye.",
7.667,"Baby Baby,Take me to the Night Time.",
13.567,"空のTie DyeなTwilight",
16.417,"グラスに注いだら乾杯",
19.283,"弾けて　キラキラなHoliday",
22.133,"はしゃぎ過ぎたねと　笑い合い",
25.883,"待ち合わせの　街角から",
28.75,"ちょっぴりきめて",
30.167,"あっちこっちへと",
31.6,"目に映した",
34.467,"全部がHighlight",
37.133,"だけどもうちょっと",
39.417,"夢みたいな今でいたい",
42.488,"ねぇ、まだ帰りたくない",
46.967,"このまま　揺らいじゃいたい Night Time",
50.717,"甘く曖昧なMy Mind",
53.567,"（夢じゃない　夢見たい）",
58.383,"今日はまだ　言いたくない Bye-Bye",
62.133,"遊び足りない By your side",
65,"（夢じゃない　夢見たい）",
70.95,"あと少し　踊らせて Moonlight",
76.6,"Unrealで　特別なTonight",
82.85,"明日の太陽も消せないように",
85.717,"忘れないように　胸に刻むように",
88.567,"手と手を（を） 重ねあい（あい）",
91.25,"1.2.3.4",
92.667,"このまま　揺らいじゃいたい Night Time",
96.417,"終わらないで Lovely Night uh uh",
99.283,"（夢じゃない　夢見たい）\n終わらないで Lovely Night uh uh",
104.259,"今日はまだ　言いたくない Bye-Bye",
107.9,"遊び足りない By your side",
110.717,"（夢じゃない　夢見たい）",
117.667,"このままずっと",
120.567,"このままずっと",
123.383,"揺れていたいの",
126.25,"夢見てたいの",
132.683,,
