time,lyrics,size
0,,
2.89,どこ？そこ？あそこ？見つからないぜぃ？,
5.611,パパイヤ　マンゴー　ココ☆ナツ !,
8.034,カキ氷　イチゴ味,
10.798,ベロを出したら　まっかっか ! Ai!,
13.827,猛暑　残暑　水着SHOW! SAY!,
16.378,ジャジャジャジャジャジャジャーン,
19.342,ココ☆ナツ　いえい,
20.889,カチカチに燃えてる　おひさま,
26.373,待ちわびた季節は　サマーサマー,
31.525,思い切って　買っちゃった　ビキニ,
36.924,すっごーく　照れるけど　負けらんない ! !,
42.778,日焼け止め　ココナツフレイバー,
48.218,紫外線　トコナツレイザー,
53.473,どっきゅーん　ずっきゅーん　キミの視線,
58.885,心臓　大爆発☆,
61.628,サシスセ　ソコナツ　べいべー,
64.434,ダディデュデ　どこなつ？　べいべー,
67.177,かきくけ　ココナツ　べいべー,
69.84,サン ! サン ! サマータイム !\nYES!!!,
72.149,コココ　コーコ　コッコッコー,
74.613,コココ　コーコ　コッコッコー,
77.613,コココ　コーコ　コッコッ　コッコッコッコッコー,
80.899,コーコ　コーコ☆ナーツ,
83.128,コココ　コーコ　コッコッコー,
85.812,コココ　コーコ　コッコッコッコーー,
88.598,コココ　コーコ　コッコッ　コッコッコッコッコー,
92.047,コココココココ　コココココココ,
94.61,ココ☆ナツ　ココ☆ナツ,
99.927,カキ氷　メロン味,
102.681,ベロを出したら　ゾンビーだ ! Ai!,
105.759,勝負ゆかた着て　盆DANCE! SAY!,
108.307,ジャジャジャジャジャジャジャーン,
110.536,あっそーれ　ちょいなーちょいなーちょいなーちょいなー,
112.627,どこ？そこ？あそこ？見つからないぜぃ？,
115.35,パパイヤ　マンゴー　ココ☆ナツ !,
119.75,,
