id,sec,type,startPos,finishPos,status,sync,groupId,visible,size,distance
1,0,100,0,0,486,0,0,120,,
2,0,91,,,,0,0,,,0
3,0,93,,,100,0,0,,,
4,2.884036,1,3,2,0,1,0,-80,,2.884036
5,2.884036,1,3,4,0,1,0,-80,,2.884036
6,2.891566,1,1,2,0,1,0,64,,2.891566
7,2.891566,1,5,4,0,1,0,64,,2.891566
8,2.906627,9,1,2,27,0,249,64,200,2.906627
9,2.906627,9,5,4,27,0,250,64,200,2.906627
10,2.914157,9,1,2,27,0,249,64,200,2.914157
11,2.914157,9,5,4,27,0,250,64,200,2.914157
12,3.064759,1,3,1,0,1,0,-65,,3.064759
13,3.064759,1,3,5,0,1,0,-65,,3.064759
14,3.072289,1,2,1,0,1,0,56,,3.072289
15,3.072289,1,4,5,0,1,0,56,,3.072289
16,3.087349,9,2,1,27,0,247,56,200,3.087349
17,3.087349,9,4,5,27,0,248,56,200,3.087349
18,3.09488,9,2,1,27,0,247,56,200,3.09488
19,3.09488,9,4,5,27,0,248,56,200,3.09488
20,3.245482,1,3,2,0,1,0,-50,,3.245482
21,3.245482,1,3,4,0,1,0,-50,,3.245482
22,3.253012,1,1,2,0,1,0,48,,3.253012
23,3.253012,1,5,4,0,1,0,48,,3.253012
24,3.268072,9,1,2,27,0,243,48,200,3.268072
25,3.268072,9,5,4,27,0,244,48,200,3.268072
26,3.275602,9,1,2,27,0,243,48,200,3.275602
27,3.275602,9,5,4,27,0,244,48,200,3.275602
28,3.426205,1,3,1,0,1,0,-35,,3.426205
29,3.426205,1,3,5,0,1,0,-35,,3.426205
30,3.433735,1,2,1,0,1,0,40,,3.433735
31,3.433735,1,4,5,0,1,0,40,,3.433735
32,3.448795,9,2,1,27,0,245,40,200,3.448795
33,3.448795,9,4,5,27,0,246,40,200,3.448795
34,3.456325,9,2,1,27,0,245,40,200,3.456325
35,3.456325,9,4,5,27,0,246,40,200,3.456325
36,3.795181,8,1,1,0,0,0,80,80,3.795181
37,3.795181,8,3,3,0,0,0,80,80,3.795181
38,3.795181,8,5,5,0,0,0,80,80,3.795181
39,3.975904,8,4,4,0,0,0,80,80,3.975904
40,3.975904,8,2,2,0,0,0,80,80,3.975904
41,4.156627,8,1,1,0,0,0,80,80,4.156627
42,4.156627,8,3,3,0,0,0,80,80,4.156627
43,4.156627,8,5,5,0,0,0,80,80,4.156627
44,4.329819,1,3,2,0,1,0,-80,,4.329819
45,4.329819,1,3,4,0,1,0,-80,,4.329819
46,4.337349,1,1,2,0,1,0,64,,4.337349
47,4.337349,1,5,4,0,1,0,64,,4.337349
48,4.35241,9,1,2,27,0,251,64,200,4.35241
49,4.35241,9,5,4,27,0,252,64,200,4.35241
50,4.35994,9,1,2,27,0,251,64,200,4.35994
51,4.35994,9,5,4,27,0,252,64,200,4.35994
52,4.510542,1,3,1,0,1,0,-65,,4.510542
53,4.510542,1,3,5,0,1,0,-65,,4.510542
54,4.518072,1,2,1,0,1,0,56,,4.518072
