id,sec,type,startPos,finishPos,status,sync,groupId,visible,size,distance
1,0,100,0,0,669,0,0,60,,
2,0,91,,,,0,0,,,0
3,0,93,,,100,0,0,,,
4,1.791045,1,2,5,0,1,0,,120,1.791045
5,1.791045,1,4,1,0,1,0,,120,1.791045
6,1.791045,93,,,-80,0,0,,,
7,1.865672,93,,,-60,0,0,,,
8,1.940299,93,,,-40,0,0,,,
9,2.014925,93,,,-20,0,0,,,
10,2.089552,93,,,0,0,0,,,
11,2.238806,93,,,20,0,0,,,
12,2.313433,93,,,40,0,0,,,
13,2.38806,93,,,60,0,0,,,
14,2.462687,93,,,80,0,0,,,
15,2.537313,93,,,100,0,0,,,
16,2.686567,1,2,5,0,1,0,,110,1.940299
17,2.686567,1,4,1,0,1,0,,110,1.940299
18,2.686567,93,,,-80,0,0,,,
19,2.761194,93,,,-60,0,0,,,
20,2.835821,93,,,-40,0,0,,,
21,2.910448,93,,,-20,0,0,,,
22,2.985075,93,,,0,0,0,,,
23,3.134328,93,,,20,0,0,,,
24,3.208955,93,,,40,0,0,,,
25,3.283582,93,,,60,0,0,,,
26,3.358209,93,,,80,0,0,,,
27,3.432836,93,,,100,0,0,,,
28,3.58209,1,2,5,0,1,0,,,2.089552
29,3.58209,1,4,1,0,1,0,,,2.089552
30,3.58209,93,,,-80,0,0,,,
31,3.656716,93,,,-60,0,0,,,
32,3.731343,93,,,-40,0,0,,,
33,3.80597,93,,,-20,0,0,,,
34,3.880597,93,,,0,0,0,,,
35,4.029851,93,,,20,0,0,,,
36,4.104478,93,,,40,0,0,,,
37,4.179104,93,,,60,0,0,,,
38,4.253731,93,,,80,0,0,,,
39,4.328358,93,,,100,0,0,,,
40,4.477612,1,2,5,0,1,0,,90,2.238806
41,4.477612,1,4,1,0,1,0,,90,2.238806
42,5.074627,1,3,2,0,0,0,,,2.835821
43,5.373134,1,4,1,0,1,0,,120,3.134328
44,5.373134,1,2,5,0,1,0,,120,3.134328
45,5.373134,93,,,-80,0,0,,,
46,5.447761,93,,,-60,0,0,,,
47,5.522388,93,,,-40,0,0,,,
48,5.597015,93,,,-20,0,0,,,
49,5.671642,93,,,0,0,0,,,
50,5.820896,93,,,20,0,0,,,
51,5.895522,93,,,40,0,0,,,
52,5.970149,93,,,60,0,0,,,
53,6.044776,93,,,80,0,0,,,
54,6.119403,93,,,100,0,0,,,
55,6.268657,1,4,1,0,1,0,,110,3.283582
56,6.268657,1,2,5,0,1,0,,110,3.283582
57,6.268657,93,,,-80,0,0,,,
58,6.343284,93,,,-60,0,0,,,
59,6.41791,93,,,-40,0,0,,,
60,6.492537,93,,,-20,0,0,,,
61,6.567164,93,,,0,0,0,,,
62,6.716418,93,,,20,0,0,,,
63,6.791045,93,,,40,0,0,,,
64,6.865672,93,,,60,0,0,,,
65,6.940299,93,,,80,0,0,,,
66,7.014925,93,,,100,0,0,,,
67,7.164179,1,4,1,0,1,0,,,3.432836
68,7.164179,1,2,5,0,1,0,,,3.432836
69,7.164179,93,,,-80,0,0,,,
70,7.238806,93,,,-60,0,0,,,
71,7.313433,93,,,-40,0,0,,,
72,7.38806,93,,,-20,0,0,,,
73,7.462687,93,,,0,0,0,,,
74,7.61194,93,,,20,0,0,,,
75,7.686567,93,,,40,0,0,,,
76,7.761194,93,,,60,0,0,,,
77,7.835821,93,,,80,0,0,,,
78,7.910448,93,,,100,0,0,,,
79,8.059701,3,4,1,0,1,50,,70,3.58209
80,8.059701,3,2,5,0,1,51,,70,3.58209
81,8.159204,3,4,1,0,1,50,,80,3.681592
82,8.159204,3,2,5,0,1,51,,80,3.681592
83,8.258706,3,2,5,0,1,51,,85,3.781095
84,8.258706,3,4,1,0,1,50,,85,3.781095
85,8.358209,3,2,5,0,1,51,,90,3.880597
86,8.358209,3,4,1,0,1,50,,90,3.880597
87,8.457711,3,2,5,0,1,51,,110,3.9801
88,8.457711,3,4,1,0,1,50,,110,3.9801
89,8.557214,3,2,5,0,1,51,,120,4.079602
90,8.557214,3,4,1,0,1,50,,120,4.079602
91,8.656716,3,2,5,0,1,51,,130,4.179104
92,8.656716,3,4,1,0,1,50,,130,4.179104
93,8.955224,1,5,2,0,1,0,,120,4.477612
94,8.955224,1,2,5,0,1,0,,120,4.477612
95,8.955224,93,,,-80,0,0,,,
96,9.029851,93,,,-60,0,0,,,
97,9.104478,93,,,-40,0,0,,,
98,9.179104,93,,,-20,0,0,,,
99,9.253731,93,,,0,0,0,,,
100,9.402985,93,,,20,0,0,,,
101,9.477612,93,,,40,0,0,,,
102,9.552239,93,,,60,0,0,,,
103,9.626866,93,,,80,0,0,,,
104,9.701493,93,,,100,0,0,,,
105,9.850746,2,2,1,0,1,0,,,4.626866
106,9.850746,1,5,4,0,1,0,,,4.626866
107,10.149254,1,4,4,1,0,52,,,4.925373
108,10.186567,1,4,3,1,0,52,,,4.962687
109,10.447761,2,2,1,0,1,0,,,5.223881
110,10.447761,1,2,2,2,1,57,20,,5.223881
111,10.460199,9,2,2,118,0,43,,150,5.236318
112,10.485075,1,2,3,2,0,57,20,,5.261194
113,10.491294,9,2,3,118,0,41,,200,5.267413
114,10.497512,9,2,3,118,0,42,,10,5.273632
