0.03333,MOT_all,cut1,,
0.03333,2,,,,D20
0.03333,3,,,,D20
0.03333,1,,,,D20
2.1664499999999998,MOT_control_all,na_zoom1,,
2.36643,MOT_mc_stage_color_00,y-flash,,
2.36643,1,1-2,,,
2.4997499999999997,2,1-2,,,
2.6997299999999997,3,1-2,,,
2.83305,MOT_mc_stage_color_00,b-flash,,
3.06636,2,2-3,,,
3.06636,3,2-3,,,
3.06636,1,2-3,,,
3.3329999999999997,MOT_mc_stage_color_00,r-flash,,
3.4329899999999998,3,3-4,l1,,
3.59964,1,3-4,l1,,
3.79962,2,3-4,l1,,
3.93294,MOT_mc_stage_color_00,y-flash,,
3.9996,3,4-1,lb0,,
4.1329199999999995,1,4-1,lb0,,
4.2329099999999995,2,4-1,lb0,,
4.63287,1,j1-2,,,
4.6662,MOT_mc_stage_color_00,b-flash,,
4.86618,2,j1-2,,,
4.86618,3,j1-2,,,
5.199479999999999,1,2-3,,,
5.3994599999999995,2,2-3,,,
5.3994599999999995,3,2-3,,,
5.966069999999999,MOT_mc_stage_color_00,r-flash,,
5.966069999999999,1,j3-4,,,
6.166049999999999,2,j3-4,,,
6.166049999999999,3,j3-4,,,
6.59934,1,sp4-1,,,
6.63267,2,sp4-1,,,
6.6659999999999995,3,sp4-1,,,
7.232609999999999,MOT_mc_stage_color_00,b-flash,,
7.232609999999999,2,1-2,,,
7.39926,1,1-2,,,
7.56591,3,1-2,,,
7.86588,MOT_mc_stage_color_00,y-flash,,
7.9325399999999995,2,2-3,l1,,
7.9325399999999995,3,2-3,r1,,
7.9325399999999995,1,2-3,,,
8.29917,2,3-4,lb0,,
8.465819999999999,1,3-4,,,
8.49915,MOT_mc_stage_color_00,b-flash,,
8.63247,3,3-4,rb0,,
8.96577,1,4-1,,,
9.09909,2,j4-1,,,
9.09909,3,j4-1,,,
9.73236,MOT_mc_stage_color_00,b-flash,,
9.73236,1,1-2,,,
9.83235,2,1-2,,,
9.96567,3,1-2,,,
10.098989999999999,1,2-3,,,
10.26564,3,2-3,,,
10.398959999999999,2,2-3,,,
10.56561,1,3-4,,,
10.83225,MOT_mc_stage_color_00,y-flash,,
10.83225,2,3-4,,,
10.96557,MOT_mc_stage_color_00,r-flash,,
10.96557,1,4-1,,,
11.06556,MOT_control_all,na_zoom2,,
11.098889999999999,MOT_mc_stage_color_00,b-flash,,
11.098889999999999,3,3-4,,,
11.49885,2,lp4,,,
