time,charapos,busid,busvalue,effectname,effecttime,effectvalue,panning,volume
0,,1,,MasterOut,0,0,,
0,,1,,BUS_0007,0,0,,
0,,2,,MasterOut,0,0,,
0,,2,,BUS_0007,0,0,,
0,,3,,MasterOut,0,1,,
0,,3,,BUS_0007,0,0.2,,
0,,4,,MasterOut,0,0,,
0,,4,,BUS_0007,0,0,,
0,,5,,MasterOut,0,0,,
0,,5,,BUS_0007,0,0,,
0,1,1,1,,,,0,0.78
0,2,2,1,,,,0,0.78
0,3,3,1,,,,0,0.78
0,4,4,1,,,,0,0.78
0,5,5,1,,,,0,0.78
16.898,,3,,MasterOut,0.05,0,,
16.898,,3,,BUS_0007,0.2,0,,
17.442,,2,,MasterOut,0,1,,
17.442,,2,,BUS_0007,0,0.2,,
28.334,,2,,MasterOut,0.05,0,,
16.898,,2,,BUS_0007,0.2,0,,
29.82,,5,,MasterOut,0,1,,
29.82,,5,,BUS_0007,0,0.2,,
34.911,,5,,MasterOut,0.05,0,,
34.911,,5,,BUS_0007,0.2,0,,
35.77,,4,,MasterOut,0,1,,
35.77,,4,,BUS_0007,0,0.2,,
40.88,,4,,MasterOut,0.05,0,,
40.88,,4,,BUS_0007,0.2,0,,
41.259,,1,,MasterOut,0,1,,
41.259,,1,,BUS_0007,0,0.2,,
46.017,,1,,MasterOut,0.05,0,,
46.017,,1,,BUS_0007,0.2,0,,
46.414,,2,,MasterOut,0,1,,
46.414,,2,,BUS_0007,0,0.2,,
46.414,,3,,MasterOut,0,1,,
46.414,,3,,BUS_0007,0,0.2,,
46.414,2,2,1,,,,-7,0.54
46.414,3,3,1,,,,7,0.78
55.193,,2,,MasterOut,0.05,0,,
55.193,,2,,BUS_0007,0.2,0,,
55.193,,3,,MasterOut,0.05,0,,
55.193,,3,,BUS_0007,0.2,0,,
56.938,,1,,MasterOut,0,1,,
56.938,,1,,BUS_0007,0,0.2,,
56.938,,2,,MasterOut,0,1,,
56.938,,2,,BUS_0007,0,0.2,,
56.938,,3,,MasterOut,0,1,,
56.938,,3,,BUS_0007,0,0.2,,
56.938,,4,,MasterOut,0,1,,
56.938,,4,,BUS_0007,0,0.2,,
56.938,,5,,MasterOut,0,1,,
56.938,,5,,BUS_0007,0,0.2,,
