time,move_type,BPM,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5,3D_move_type,3D_BPM,start_image
0,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Oioi,0,0
2.823529,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Oioi,170,0
48,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Uhoi,56.66666,0
49.058824,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Uhoi,170,0
49.411765,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Oioi,170,0
61.764706,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Oioi,56.66666,0
62.823529,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Pause,170,0
63,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Oioi,255,8
63.176471,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Oioi,255,2
63.352941,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Pause,170,0
63.529412,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Oioi,255,8
63.705882,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Oioi,255,2
63.882353,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Pause,170,0
64.941176,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Oioi,170,0
84.705882,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Uhoi,56.66666,0
85.764706,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Uhoi,170,8
86.117647,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Oioi,170,0
88.235294,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Uhoi,56.66666,0
89.294118,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Pause,170,0
90.352941,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Oioi,170,0
98.470588,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Oioi,340,0
98.823529,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Pause,170,8
100.235294,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Oioi,170,0
122.117647,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Uhoi,21.25,0
124.941176,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Pause,170,0
126.352941,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Oioi,170,0
140,Uhoi,5,Random3,Blue07,Blue07,Blue07,,,,,,,,Bye,256,0
