time,lyrics,size
0,, 
24.97,全て解った気がしてた,
28.02,可能　不可能　ゼロイチ,
30.85,明滅する未来地図,
36.32,未練がましく指弾く,
39.3,この気持ちの正体は,
42.08,ノイズの中　光る,
46.15,Who called me?,
47.4,"""Hello!""",
48.97,女神かな、なんてね　でも,
52.9,you can be my stars,
55.7,色をくれたから,
58.33,"世界に Say ""Hello!""",
64.15,数えきれない夢に今,
67.55,出会えたこの奇跡が,
70.35,不安定な波の上,
72.97,震えている,
75.83,確かなこと願うほど,
78.85,遠ざかって,
81.45,それでも諦めない,
85.87,ぎゅっ、て離さない,
93.03,,
98.05,数えきれない夢に今,
101.45,出会えたこの奇跡は,
104.23,未観測の波だって,
106.85,引き起こすよ,
109.75,不確かなものだからこそ,
112.68,求めたくって,
115.35,もう絶対に諦めない,
119.75,ぎゅっ、て離さないから,
129.67,,
