time,move_type,BPM,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5,3D_move_type,3D_BPM,start_image
0,Uhoi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Uhoi,1,0
4.363636,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,165,0
5.090909,Pause,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Pause,165,7
5.454545,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,165,8
5.727273,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,165,6
5.818182,Pause,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Pause,165,8
6.181818,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,165,8
6.454545,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,165,6
6.545455,Pause,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Pause,165,8
6.909091,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,165,8
7.181818,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,165,6
7.272727,Pause,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Pause,165,8
7.636364,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,165,8
7.909091,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,165,6
8,Pause,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Pause,165,8
8.363636,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,165,8
8.727273,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
9.090909,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
9.454545,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
9.818182,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
10.181818,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
10.545455,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
10.909091,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
11.272727,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
11.636364,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
12,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
12.363636,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
12.727273,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
13.090909,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
13.454545,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
13.818182,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
14.181818,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
14.545455,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
14.909091,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
15.272727,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
15.636364,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
16,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
16.363636,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
16.727273,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
17.090909,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
17.454545,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
17.818182,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
18.181818,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
18.545455,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
18.909091,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
19.272727,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
19.636364,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
20,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,206.25,2
21.090909,Oioi,5,Random5,Pink04,Pink04,Pink01,Blue01,Yellow01,,,,,,Oioi,165,0
