time,lyrics,size
0,,
3.30,Everybody's happy smiles,
20.55,,
23.21,弾け飛んでけリズムはポップコーン,
27.08,シネマ気分でハッピーなエンドロール,
30.51,ヒロインたちが魔法かけた,
35.86,笑顔の冒険譚,
41.15,やなことなんて忘れちゃうくらい,
46.00,CRY,
47.967,夢中になれること　探しにいこう,
51.35,ほら　ほら　顔をあげて,
54.883,カバンの中身　空っぽにしたら,
61.85,大切なものを探しに行こうよ,
66.30,Let's Go,
68.43,踊り明かそう,
71.36,全身にバフ浴びて,
75.30,どんな困難もなぎ倒す,
78.8,笑顔が武器になる,
81.3,Laugh and Fight,
85.583,,
88.350,弾け飛んでけリズムはポップコーン,
92.120,シネマ気分でハッピーなエンドロール,
95.750,ヒロインたちが魔法かけた,
99.320,笑顔の冒険譚,
102.083,シナリオはナシ　自由でいいんじゃない？,
106.05,エンドレスでフリーダムなオープンワールド,
109.367,いつまでだって騒ぎ明かそう,
112.967,僕らの冒険譚,
115.8,踊れ,
119.217,歌え,
122.65,笑顔,
125.95,騒げ全てを忘れて,
130.70,,
