0.03333,MOT_mc_bg_black_00,b65,,
0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom1,,
0.03333,1,,,,D80
0.03333,2,,,,D80
0.03333,3,,,,D80
0.03333,4,,,,D80
0.03333,5,,,,D80
3.19968,4,1-2,,,
3.19968,5,1-2,,,
3.19968,4,,l1,,
3.19968,5,,r1,,
3.3329999999999997,4,,,,L0
3.3329999999999997,5,,,,L0
3.36633,MOT_mc_stage_color_00,y-flash,,
3.39966,MOT_mc_bg_black_00,b65-20,,
3.69963,MOT_mc_stage_color_00,r-flash,,
3.9996,4,sj2,,,
3.9996,5,sj2,,,
4.0329299999999995,MOT_mc_stage_color_00,b-flash,,
4.39956,4,sj2,,,
4.39956,5,sj2,,,
4.799519999999999,4,2-3,,,
4.799519999999999,5,2-3,,,
4.799519999999999,4,,lb0,,
4.799519999999999,5,,rb0,,
5.6994299999999996,4,sj3,,,
5.6994299999999996,5,sj3,,,
6.13272,4,sj3,,,
6.13272,5,sj3,,,
6.49935,4,j3-4,,,
6.49935,5,j3-4,,,
6.69933,MOT_mc_stage_color_00,y-flash,,
6.8659799999999995,4,4-1,,,
6.8659799999999995,5,4-1,,,
7.032629999999999,MOT_mc_stage_color_00,r-flash,,
7.29927,4,1-2,,,
7.29927,5,1-2,,,
7.36593,MOT_mc_stage_color_00,b-flash,,
7.6659,4,2-3,,,
7.6659,5,2-3,,,
8.13252,4,j3-4,,,
8.13252,5,j3-4,,,
8.49915,4,4-1,,,
8.49915,5,4-1,,,
8.93244,4,1-2,,,
8.93244,5,1-2,,,
9.3324,4,2-3,,,
9.3324,5,2-3,,,
9.86568,2,1-2,l1,,
9.86568,3,1-2,l1,,
9.86568,4,3-4,l1,,
9.86568,5,3-4,l1,,
9.998999999999999,2,,,,L0
9.998999999999999,3,,,,L0
10.13232,MOT_mc_stage_color_00,y-flash,,
10.298969999999999,2,2-3,lb0,,
10.298969999999999,3,2-3,lb0,,
10.298969999999999,4,4-1,lb0,,
10.298969999999999,5,4-1,lb0,,
10.73226,2,j3-4,,,
10.73226,3,j3-4,,,
10.73226,4,j1-2,,,
10.73226,5,j1-2,,,
11.56551,2,4-1,l1,,
11.56551,3,4-1,l1,,
11.56551,4,2-3,l1,,
11.56551,5,2-3,l1,,
11.9988,2,1-2,lb0,,
11.9988,3,1-2,lb0,,
11.9988,4,3-4,lb0,,
11.9988,5,3-4,lb0,,
12.432089999999999,2,j2-3,,,
12.432089999999999,3,j2-3,,,
12.432089999999999,4,j4-1,,,
12.432089999999999,5,j4-1,,,
12.89871,MOT_mc_stage_color_00,r-flash,,
13.26534,MOT_mc_stage_color_00,b-flash,,
13.36533,1,1-2,,f1,
13.36533,2,3-4,,f1,
13.36533,3,3-4,,f1,
13.36533,4,1-2,,f1,
13.36533,5,1-2,,f1,
13.46532,1,,,,L0
13.631969999999999,MOT_mc_stage_color_00,y-flash,,
13.76529,1,2-3,,b0,
13.76529,2,4-1,,b0,
13.76529,3,4-1,,b0,
13.76529,4,2-3,,b0,
13.76529,5,2-3,,b0,
14.165249999999999,1,j3-4,,,
14.165249999999999,2,j1-2,,,
14.165249999999999,3,j1-2,,,
14.165249999999999,4,j3-4,,,
14.165249999999999,5,j3-4,,,
15.03183,1,4-1,,f1,
15.03183,2,2-3,,f1,
15.03183,3,2-3,,f1,
15.03183,4,4-1,,f1,
15.03183,5,4-1,,f1,
15.43179,1,1-2,,b0,
15.43179,2,3-4,,b0,
15.43179,3,3-4,,b0,
15.43179,4,1-2,,b0,
15.43179,5,1-2,,b0,
15.49845,MOT_mc_stage_color_00,y-flash,,
