time,lyrics,size
0,, 
4.92,Grow up 夢見る,
7.25,場所までKeep on 止まることない,
11.22,今だSpeed up 蹴りだせ,
13.96,信じてBe right 準備はいいかい,
20.36,,
33.6,パッと開いてく　自分にある可能性を,
38.63,(Starry eyed Let it ride),
40.52,待ってるよりも　迎えに行くって決めたら,
46.67,Uh 無数のコースを　選んでLock on,
50.72,難しい勝負も　手を尽くせ　全力で,
54.13,自由に望もう　掴んでHold on,
57.48,背中を押す風　力込めたら体動かせ,
62.25,目指す理想とセッション,
65.63,負けないコンビネーション,
68.88,前のめりのフォーメーション,
74,(Foo!),
75.94,Wake up 詰め込んだ,
78.18,期待のOne day 勝ち取るまで,
82.04,アツくRun up いつでも,
85.07,本気でLet's try 試してみたい,
88.95,Hey! 掛け声に応えて Hey!,
91.28,そう楽しいなら全て　諦めない明日へ,
94.28,進んでこうぜ Will go 旅立つ,
98.52,互いにGood luck やりたいコト叶えよう,
106.52,,
