time,lyrics,size
0,,
25.81,見ざる　言わざる　聞かざるでござる,
28.53,君子、危うきに近寄らずデス,
31.46,お願いされたら、やめたくなります,
34.35,だったら、許す　だったら、笑え,
37.40,こころの声が木霊する,
43.13,涙と希望のカーニバル,
48.73,生意気なくらいの夜明けに,
54.19,行かないで…　行かないで…　泣かないで…　泣かないで…,
65.97,サラバ、昨日をぬぎすてて,
68.88,勇気の声をふりしぼれ,
71.73,「じぶん」という名の愛を知るために,
77.42,眠れない羊の群れよ,
80.28,迷えるこころの叫びを,
83.16,振り返るな　我らの世界はまだ始まったばかりだ,
94.919,"Ah-Ha Dig it, Dig it",
97.795,"Ah-Ha Dig it, Dig it",
100.616,"Ah-Ha Dig it, Dig it",
103.507,Ah-Ha Dig it up,
106.32,"Oh-Ho Do it, Do it",
109.231,"Oh-Ho Do it, Do it",
112.064,"Oh-Ho Do it, Do it",
114.888,"Oh-Ho Do it now, Do it now, Do it now",
122.873,,
