time,lyrics,size
0,, 
7.94,電波テンポアップして絶賛感電中 !,
14.1,,
16.95,あなたにもわすれたいことかなしいこと,
21.6,あるのかしらね,
23.76,識らない映画なのに涙をながすのは\nドラマチックが足りていないからよ,
30.88,そんな愚にも付かないこと\nくだらないこと考えてばかりね,
37.8,雨が上がれば愛もその横顔も\n誰かのものになるのでしょう,
44.44,嘘っぱちのファンデーションも全部,
47.06,今夜のためよ,
48.65,なのに一体全体如何して何故？,
52.26,不安定なカンテラ何処まで行くの,
55.65,あなた一切合切放り去ってもう,
58.54,冗談じゃあないわ,
60.76,トウキョウ・シャンディ・ランデヴ,
62.49,その時が来たって如何にもならないぜ,
66.5,曖昧な本当なんてメランコリ化するだけ,
70.68,あたしをさあ掻攫って今テイクオンミー,
77.13,,
90.08,冗談じゃあないわ,
92.33,トウキョウ・シャンディ・ランデヴ,
94.07,その時が来たって如何にもならないぜ,
97.77,不甲斐ないわ,
99.31,感情なんてランドリーで落とすだけ,
102.18,あたしと確かめ合ってイエローマジック,
106.36,トウキョウ・シャンディ・ランデヴ,
108.05,その時が来たって如何にもならないぜ,
112.06,曖昧な本当なんてメランコリ化するだけ,
116.22,あたしをさあ掻攫って今テイクオンミー,
123,,
