time,charapos,busid,busvalue,effectname,effecttime,effectvalue,panning,volume
0,,1,,MasterOut,0,1,,
0,,1,,BUS_0007,0,0.1,,
0,,2,,MasterOut,0,1,,
0,,2,,BUS_0007,0,0.1,,
0,,3,,MasterOut,0,1,,
0,,3,,BUS_0007,0,0.1,,
0,1,1,1,,,,0,0.78
0,2,2,1,,,,0,0
0,3,3,1,,,,0,0
11.771,1,1,1,,,,0,0
11.771,3,3,1,,,,0,0.78
21.912,3,3,1,,,,0,0
21.912,2,2,1,,,,0,0.78
32.626,2,2,1,,,,0,0
32.626,1,1,1,,,,0,0.78
42.985,1,1,1,,,,0,0
42.985,3,3,1,,,,0,0.78
52.625,3,3,1,,,,0,0
52.625,2,2,1,,,,0,0.78
57.728,1,1,1,,,,0,0.54
57.728,2,2,1,,,,-18,0.4
57.728,3,3,1,,,,18,0.4
71.714,1,1,1,,,,0,0
71.714,2,2,1,,,,-8,0.54
71.714,3,3,1,,,,8,0.54
81.879,1,1,1,,,,0,0.54
81.879,2,2,1,,,,-18,0.4
81.879,3,3,1,,,,18,0.4
91.872,1,1,1,,,,0,0
91.872,2,2,1,,,,0,0
91.872,3,3,1,,,,0,0.78
103.215,1,1,1,,,,0,0.54
103.215,2,2,1,,,,-18,0.4
103.215,3,3,1,,,,18,0.4
