time,lyrics,size
0.00 ,,
25.00 ,知らない街　まだ見ぬステージ,
29.60 ,瞳キラリ　まっかな果実は,
36.10 ,「輝ける ! 」とそう思ったの,
40.737 ,ときめいちゃったのは,
43.90 ,もぎたてのハーモニー,
47.20 ,自分らしさ　#Fashi0nate,
49.90 ,"映える瞬間が　So, I feel good",
52.633 ,好きなことはShareしたい,
54.983 ,Check it out!　Follow me!,
56.60 ,目が離せない予感,
61.10 ,史上サイコー　ずっと　UPdate!,
69.483 ,,
70.45 ,よく聞けよオタク,
71.90 ,ザコメンタルぼく、早速ブレイク,
74.45 ,人生ってやっぱりチョロいわ !,
76.45 ,愛してんだろ!?　さあもっとすこれ ! よ !,
80.167 ,（まーた燃えるんご...）\n（#よくない　#言い過ぎ）,
81.717 ,ホントのこと言っただけで炎上…,
83.1,ぼくにはやさしくしてよMOTTO!,
84.33,すった ! もんだ ! つんだ ! やんだ !,
85.883,こんなクソデカ感情丸出しライフだけど,
87.80,りあむちゃんは　飾らねええ !,
89.35,とりあえず　ぶち上がれええ !,
90.817,Say!　推しが幸せなら？「OKでーす ! 」,
93,そんな3人寄れば 文殊のシゲキ!?,
99.41,我らなんてったって個性主義 !（ハイハイ ! ）,
102.4,それが一緒だと笑っちゃうフシギ（ハイハイ ! ）,
105.95,趣味も,
106.517,性格も,
107.2,価値観も,
107.9,違うからこそ　おもしろing!（イェーーイ ! ）,
111.283,予想もつかないような　ワクワクのChemistry!,
116.567,楽しいこともっと募集中だよ !　なんて,
122.1,まあ、それもまた一興かもよ !,
129.01,,
