0.03333,MOT_control_all,zoom1,,
0.03333,MOT_all,cut1,,
3.39966,1,1-2,,
3.39966,2,1-2,,
3.69963,MOT_mc_stage_color_00,r-flash,,
3.73296,1,w2,,
3.73296,2,w2,,
5.13282,1,j2-3,,
5.13282,2,j2-3,,
5.63277,1,w3,,
5.63277,2,w3,,
8.96577,1,j3-4,,
8.96577,2,j3-4,,
9.46572,1,w4,,
9.46572,2,w4,,
12.332099999999999,MOT_mc_stage_color_00,r-b,,
12.39876,1,4-1,,
12.76539,1,j1-2,,
13.26534,1,w2,,
14.265239999999999,2,4-1,,
14.63187,2,j1-2,,
15.13182,2,w2,,
16.16505,1,2-3,,
16.531679999999998,1,j3-4,,
17.03163,1,w4,,
18.03153,2,2-3,,
18.39816,2,j3-4,,
18.89811,2,w4,,
20.26464,1,hj4,,
20.26464,2,hj4,,
20.89791,1,sj4,,
20.89791,2,sj4,,
21.3312,1,4-3,,
21.3312,2,4-3,,
21.6645,1,sp3-4,,
21.6645,2,sp3-4,,
22.397759999999998,1,j4-1,,
22.397759999999998,2,j4-1,,
23.06436,2,sj1,,
23.331,1,sj1,,
23.59764,2,sj1,,
23.864279999999997,1,sj1,,
24.13092,2,sj1,,
24.39756,1,sj1,,
24.664199999999997,2,sj1,,
24.93084,1,sj1,,
25.19748,2,sj1,,
25.464119999999998,1,sj1,,
25.73076,2,sj1,,
25.9974,1,1-2,,
25.9974,2,1-2,,
26.3307,1,2-3,,
26.3307,2,2-3,,
26.663999999999998,1,lp3,,
26.663999999999998,2,lp3,,
29.86368,2,,,f1
29.963669999999997,1,3-4,,
30.363629999999997,1,w4,,
30.363629999999997,2,j3-1,,
31.03023,2,j1-2,,
31.86348,2,j2-3,,
32.296769999999995,2,3-4,,
32.73006,2,4-1,,
33.16335,2,lp1,,
35.69643,2,j1-2,,
36.09639,2,lp2,,
37.59624,2,2-3,,
38.06286,2,sj3,,
38.49615,2,sj3,,
38.92944,2,3-4,,
39.42939,2,j4-1,,
39.86268,2,lp1,,
41.36253,2,j1-2,,
41.82915,2,w2,,
42.29577,2,j2-3,,
42.762389999999996,2,w3,,
43.229009999999995,2,j3-4,,
43.69563,2,lp4,,
44.76219,2,,,b0
45.16215,1,4-1,,f1
45.195479999999996,2,4-1,,
45.595439999999996,1,lp1,,
45.595439999999996,2,w1,,
46.095389999999995,1,j1-2,,
47.09529,1,j2-3,,
47.52858,1,3-4,,
47.96187,1,4-1,,
48.39516,1,lp1,,
50.928239999999995,1,j1-2,,
51.328199999999995,1,lp2,,
52.76139,1,2-3,,
53.22801,1,sj3,,
53.69463,1,sj3,,
54.161249999999995,1,3-4,,
54.627869999999994,1,j4-1,,
55.09449,1,lp1,,
56.594339999999995,1,j1-2,,
57.060959999999994,1,w2,,
57.52758,1,j2-3,,
57.9942,1,w3,,
58.46082,1,j3-4,,
58.96077,1,lp4,,
59.927339999999994,1,4-1,,b0
60.293969999999995,1,w1,,
60.327299999999994,2,1-2,,
60.76059,2,sj2,,
61.22721,2,2-3,,
61.59384,2,j3-4,,
62.12712,2,4-3,,b0
62.293769999999995,1,,,f1
62.327099999999994,1,1-2,,
62.627069999999996,2,w3,,
62.727059999999994,1,sj2,,
63.160349999999994,1,2-3,,
63.526979999999995,1,lp3,,
64.12692,2,3-3,,
64.16024999999999,1,,,b0
64.56021,1,w3,,
64.59353999999999,2,sj3,,
65.09349,2,sp3-4,,
65.72676,2,sj4,,
65.9934,1,sj3,,
66.12671999999999,2,w4,,
66.46002,1,sj3,,
66.95997,1,sp3-4,,
67.59324,1,sj4,,
67.92654,2,4-2,,
67.9932,1,w4,,
68.35983,2,sj2,,
68.79312,2,2-3,,
69.15975,2,j3-1,,
69.75968999999999,1,4-2,,
69.79302,2,1-4,,
70.19297999999999,1,sj2,,
70.19297999999999,2,w4,,
70.62626999999999,1,2-3,,
70.99289999999999,1,lp3,,
71.62617,1,3-4,,
71.79281999999999,2,sj4,,
72.02613,1,w4,,
72.22610999999999,2,j4-1,,
72.69273,2,j1-3,,
73.35933,2,sj3,,
73.79262,2,sj3,,
74.25923999999999,2,sj3,,
74.69252999999999,2,sj3,,
75.15915,2,j3-4,,
75.85907999999999,1,4-1,,
75.85907999999999,2,4-1,,
77.09228999999999,1,4-3,,
77.39226,1,w4,,
77.45891999999999,1,3-4,,
77.95886999999999,1,sj4,,
78.35883,1,j4-1,,
78.85878,1,j1-2,,
