0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom1,,
0.03333,1,,,,D80
0.03333,2,,,,D80
0.03333,3,,,,D80
0.03333,4,,,,D80
0.03333,5,,,,D80
0.03333,2,sort,-500,
0.03333,3,sort,-500,
0.06666,MOT_mc_special_01,open,,
0.06666,MOT_mc_light_under_00,l1,,
1.8331499999999998,1,1-2,,,
1.8331499999999998,2,1-2,,,
1.8331499999999998,3,1-2,,,
1.8331499999999998,4,1-2,,,
1.8331499999999998,5,1-2,,,
2.09979,MOT_mc_stage_color_00,r-flash,,
2.09979,1,,,,Dred
2.23311,1,2-3,,,
2.6664,1,sj3,,,
2.76639,5,w2,,,
2.76639,4,w2,,,
2.76639,3,w2,,,
2.76639,2,w2,,,
3.1330199999999997,1,j3-4,,,
3.5663099999999996,1,lp4,,,
4.06626,1,4-1,,,
4.46622,1,1-2,,,
4.899509999999999,1,sj2,,,
5.3328,1,lp2,,,
6.166049999999999,1,2-3,,,
6.5660099999999995,1,j3-4,,,
6.9993,1,lp4,,,
7.532579999999999,1,j4-1,,,
7.96587,1,lp1,,,
8.53248,1,1-2,,,
8.89911,1,j2-3,,,
9.26574,1,lp3,,,
9.599039999999999,1,3-4,,,
9.899009999999999,1,4-1,,,
10.198979999999999,1,j1-2,,,
10.43229,1,,,,D80
10.56561,4,2-3,,,
10.63227,MOT_mc_stage_color_00,b-flash,,
10.63227,4,,,,Dred
10.93224,4,lp3,,,
11.26554,1,w2,,,
11.832149999999999,4,3-4,,,
12.19878,5,2-3,,,
12.232109999999999,4,,,,D80
12.332099999999999,MOT_mc_stage_color_00,y-flash,,
12.332099999999999,5,,,,Dred
12.532079999999999,5,lp3,,,
12.76539,4,w4,,,
13.46532,5,j3-4,,,
13.865279999999998,5,lp4,,,
15.69843,1,2-3,,,
15.69843,2,2-3,,,
15.69843,3,2-3,,,
15.69843,4,4-1,,,
15.69843,5,4-1,,,
15.93174,1,,,,L20
15.93174,2,,,,L20
15.93174,3,,,,L20
15.93174,4,,,,L20
15.93174,5,,,,L20
15.965069999999999,MOT_mc_stage_color_00,r-flash,,
16.03173,1,3-4,,,
16.03173,2,3-4,,,
16.03173,3,3-4,,,
16.03173,4,1-2,,,
16.03173,5,1-2,,,
16.36503,1,lp4,,,
16.36503,2,lp4,,,
16.36503,3,lp4,,,
16.36503,4,lp2,,,
16.36503,5,lp2,,,
17.03163,1,j4-1,,,
17.03163,2,j4-1,,,
17.03163,3,j4-1,,,
17.03163,4,j2-3,,,
17.03163,5,j2-3,,,
17.26494,MOT_mc_light_center_00,in,,
17.29827,MOT_mc_bg_black_00,b80-40,,
17.331599999999998,MOT_mc_stage_color_00,b-flash,,
17.364929999999998,MOT_mc_light_up_00,l3,,
17.39826,1,sp1-2,,,
17.39826,2,sp1-2,,,
17.39826,3,sp1-2,,,
17.39826,4,sp3-4,,,
17.39826,5,sp3-4,,,
19.3314,2,j2-3,,,
19.3314,3,j2-3,,,
19.398059999999997,4,j4-1,,,
19.398059999999997,5,j4-1,,,
19.46472,1,j2-3,,,
19.83135,1,j3-4,,,
19.83135,2,j3-4,,,
19.83135,3,j3-4,,,
19.83135,4,j1-2,,,
19.83135,5,j1-2,,,
20.164649999999998,1,lp4,,,
20.164649999999998,2,lp4,,,
20.164649999999998,3,lp4,,,
20.164649999999998,4,lp2,,,
20.164649999999998,5,lp2,,,
21.53118,1,j4-1,,,
21.89781,2,j4-1,,,
21.89781,3,j4-1,,,
22.231109999999997,4,j2-3,,,
22.231109999999997,5,j2-3,,,
22.597739999999998,1,j1-2,,,
