time,lyrics,size
0,,
2.09,Let's sing a song!!,
4.35,そうさ人生は独りでは,
7.71,歌えないHaRMONYだから,
10.76,想いを乗せて,
12.59,心重ねて,
16.13,行こうよNext Stage!!,
20.21,Ha～,
21.85,１、２、３、４ ! ,
26.3,,
29.64,La la la la… uh～ ah～,
34.91,最初は上手く歌う自信がなくて,
40.07,自分らしさも出せずいたけど,
46.85,気づけばたくさんの「コエ」がいつだって,
51.95,支えてくれる　何も怖くなんてないよね,
59.27,ダイアモンドみたいな満開スマイルが,
64.03,最高のステージ衣装なんだね,
69.99,さあ胸を張って !, 
72.53,Let's sing a song!!,
74.44,そうさ人生は独りでは,
77.24,歌えないHaRMONYだから,
79.83,想いを乗せて　心重ねて,
82.8,届けたいよ !,
84.42,Let's sing a song!!,
86.31,一つの歌がまた次の歌への,
89.77,Prologueになる,
91.68,終わりじゃなくて,
93.12,また新しい「最高」の始まり,
99.09,行こうよNext Stage!!,
104.63,Ha～,
106.28,１、２、３、４ !,
110.74,,
114.09,La la la la… uh～ ah～,
122.64,,
