time,lyrics,size
0.00 ,,
3.90 ,ひらひら揺れるスカート（まとった）　白い妖精たち,
10.28 ,舞い散る雪（ひらり）　また出会えたね,
18.75 ,,
20.23 ,小さな奇跡　触れた指先,
26.02 ,冷たいのに　なぜか嬉しい,
32.85 ,可愛いマフラー　お気に入りだよ,
38.43 ,準備したら　さあどこへ行こう？,
45.08 ,見渡せば（街灯り）　眩しくて（華やかに）,
51.30 ,わくわくしちゃう（どきどきしちゃう）,
57.92 ,訪れた　冬の日,
61.78 ,ふわふわ軽いステップで（踊るよ）　心もハッピー,
67.98 ,舞い散る雪（ひらり）　待ってた（ずっと）,
71.55 ,また出会えたよね（会えたね）,
74.63 ,どんなに寒くても（不思議ね）　伝わるぬくもり,
80.32 ,広がってく（そっと）　胸に（胸に）,
84.00 ,分け合えたら　素敵だね,
89.62 ,ひらひら揺れてるスカート（キュートな）　白い妖精たち,
95.90 ,舞い散る雪（ひらり）　 待ってた（ずっと）,
99.68 ,また出会えたよね（会えたね）,
102.88 ,どんなに寒くても（不思議ね）　伝わるぬくもり,
108.33 ,広がってく（そっと）　胸に（胸に）,
112.10 ,分け合えたら　素敵だね,
120.12 ,,
