0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom0,,
3.0330299999999997,2,1-2,,
3.2330099999999997,MOT_control_all,zoom1,,
3.4329899999999998,2,2-3,,
3.73296,2,w3,,
5.2994699999999995,2,3-4,,
5.6661,2,w4,,
6.79932,2,4-1,,
6.79932,1,1-2,,
7.16595,2,w1,,
7.16595,1,w2,,
9.19908,1,2-3,,
9.63237,1,3-4,,
10.098989999999999,1,4-1,,
10.46562,1,w1,,
10.76559,3,1-2,,
10.76559,1,1-1,,
11.16555,1,w1,,
11.198879999999999,3,2-3,,
11.49885,3,w3,,
13.09869,3,3-4,,
13.46532,3,w4,,
13.965269999999999,3,j4-1,,
14.49855,1,1-2,,f1
14.49855,2,1-2,,f1
14.49855,3,1-2,,f1
14.59854,MOT_control_all,zoom2,,
14.965169999999999,1,lp2,,
14.965169999999999,2,lp2,,
14.965169999999999,3,lp2,,
17.86488,1,j2-4,,
17.86488,2,j2-4,,
17.86488,3,j2-4,,
19.26474,1,4-2,,
19.26474,2,4-2,,
19.26474,3,4-2,,
19.764689999999998,1,w2,,
19.764689999999998,2,w2,,
19.764689999999998,3,w2,,
20.6646,1,hj2,,
20.6646,2,hj2,,
20.6646,3,hj2,,
21.09789,MOT_mc_stage_color_00,b-flash,,
21.09789,MOT_mc_back_00,move,,
21.26454,1,lp2,,
21.26454,2,lp2,,
21.26454,3,lp2,,
23.430989999999998,2,2-3,,
23.59764,1,2-3,,
23.73096,3,2-3,,
23.830949999999998,2,w3,,
23.96427,1,w3,,
24.13092,1,sj3,,
24.13092,2,sj3,,
24.13092,3,sj3,,
24.53088,1,sj3,,
24.53088,2,sj3,,
24.53088,3,sj3,,
24.93084,1,lp3,,
24.93084,2,lp3,,
24.93084,3,lp3,,
26.63067,1,3-4,,
26.79732,2,3-4,l1,
26.96397,3,3-4,r1,
27.03063,1,w4,,
27.16395,2,w4,,
27.297269999999997,3,w4,,
27.463919999999998,1,sj4,,
27.463919999999998,2,sj4,,
27.463919999999998,3,sj4,,
27.930539999999997,1,lp4,,
27.930539999999997,2,lp4,,
27.930539999999997,3,lp4,,
29.16375,1,4-1,,
29.16375,2,4-1,,
29.16375,3,4-1,,
29.56371,1,w1,,
29.56371,2,w1,,
29.56371,3,w1,,
30.096989999999998,1,1-2,,
30.096989999999998,2,1-2,,
30.096989999999998,3,1-2,,
30.49695,1,2-4,,
30.49695,2,2-4,,
30.49695,3,2-4,,
30.89691,1,4-2,,
30.89691,2,4-2,,
30.89691,3,4-2,,
31.26354,MOT_all,cut2,,
31.330199999999998,1,hj2,,
31.330199999999998,2,hj2,,
31.330199999999998,3,hj2,,
31.930139999999998,1,lp2,,
31.930139999999998,2,lp2,,
31.930139999999998,3,lp2,,
32.53008,1,,,b0
32.53008,2,,,b0
32.53008,3,,,b0
33.19668,1,2-3,,
33.19668,2,2-3,,
33.19668,3,2-3,,
33.36333,MOT_mc_back_00,move_out,,
33.896609999999995,1,w3,,f1
33.896609999999995,2,w3,,f1
33.896609999999995,3,lp3,,f1
34.19658,MOT_control_all,zoom3,,
35.3298,2,3-1,,
35.3298,3,3-1,,
35.6631,2,sj1,,
35.6631,3,sj1,,
36.09639,2,w1,,
36.09639,3,lp1,,
37.39626,3,j1-2,,
38.22951,1,2-4,,
38.22951,2,2-4,,
38.22951,3,2-4,,
38.56281,1,4-3,,
38.56281,2,4-3,,
38.56281,3,4-3,,
38.96277,3,lp3,,
39.86268,3,,,b0
40.26264,MOT_all,cut3,,
40.329299999999996,3,w3,,
40.72926,1,2-3,,
40.762589999999996,MOT_control_all,zoom4,,
41.162549999999996,1,lp3,,
42.795719999999996,1,3-4,,
43.229009999999995,1,j4-1,,
44.062259999999995,1,1-2,,
44.428889999999996,1,lp2,,
45.695429999999995,1,2-3,,
46.095389999999995,1,lp3,,
46.62867,1,w3,,b0
47.19528,2,lp4,,
47.46192,MOT_control_all,zoom5,,
48.22851,2,4-1,,
48.62847,2,lp1,,
49.761689999999994,2,1-3,lb1,
50.19498,2,lp3,,
50.82825,2,3-2,,
51.22821,2,2-4,,
51.6615,2,4-1,,
52.06146,2,lp1,,
53.12802,2,j1-4,,
53.56131,1,,,b0
53.9946,1,lp4,lb0,f1
53.9946,2,lp4,lb0,f1
53.9946,3,lp4,lb0,f1
54.06126,MOT_control_all,zoom6,,
56.194379999999995,1,4-1,,
56.194379999999995,2,4-1,,
56.194379999999995,3,4-1,,
56.594339999999995,1,1-2,,
56.594339999999995,2,1-2,,
56.594339999999995,3,1-2,,
56.960969999999996,1,w2,,
56.960969999999996,2,w2,,
56.960969999999996,3,w2,,
57.3276,2,j2-3,,
57.3276,3,j2-3,,
57.794219999999996,2,w3,,
57.794219999999996,3,w3,,
58.194179999999996,1,j2-4,,
58.194179999999996,2,j3-4,,
58.660799999999995,1,w4,,
58.660799999999995,2,w4,,
59.060759999999995,1,j4-1,,
59.060759999999995,2,j4-1,,
59.060759999999995,3,j3-1,,
59.460719999999995,1,lp1,,
