0.03333,1,,,,D40
0.03333,2,,,,D40
0.03333,3,,,,D40
0.03333,4,,,,D40
0.03333,5,,,,D40
0.03333,MOT_mc_bg_black_00,b80-65,,
0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom1,,
2.86638,5,sp1-2,,,
2.96637,3,sp1-2,,,
3.06636,1,sp1-2,,,
3.16635,2,sp1-2,,,
3.26634,4,sp1-2,,,
3.53298,1,2-3,,,
3.53298,2,2-3,,,
3.53298,3,2-3,,,
3.53298,4,2-3,,,
3.53298,5,2-3,,,
3.6662999999999997,MOT_mc_stage_color_00,b-flash,,
3.69963,MOT_mc_light_center_00,loop,,
3.69963,MOT_mc_light_up_00,loop,,
3.69963,1,,,,L0
3.69963,2,,,,L0
3.69963,3,,,,L0
3.69963,4,,,,L0
3.69963,5,,,,L0
3.69963,MOT_mc_bg_black_00,b20,,
3.7662899999999997,1,hj3,,,
3.7662899999999997,2,hj3,,,
3.7662899999999997,3,hj3,,,
3.7662899999999997,4,hj3,,,
3.7662899999999997,5,hj3,,,
4.29957,1,j3-4,,,
4.29957,4,j3-4,,,
4.29957,5,j3-4,,,
4.39956,MOT_mc_stage_color_00,b-flash,,
4.899509999999999,2,j3-4,,,
4.899509999999999,3,j3-4,,,
5.03283,MOT_mc_stage_color_00,b-flash,,
5.36613,5,w4,,,
5.36613,4,w4,,,
5.36613,1,w4,,,
5.76609,4,4-1,,,
5.76609,5,4-1,,,
5.966069999999999,3,w4,,,
5.966069999999999,2,w4,,,
6.23271,2,4-1,,,
6.23271,3,4-1,,,
6.69933,5,w1,,,
6.69933,4,w1,,,
6.69933,1,4-1,,,
7.16595,3,w1,,,
7.16595,2,w1,,,
7.16595,1,1-2,,,
7.16595,2,1-2,,,
7.16595,3,1-2,,,
7.16595,4,1-2,,,
7.16595,5,1-2,,,
7.49925,MOT_mc_stage_color_00,y-flash,,
7.56591,1,lp2,,,
7.56591,2,lp2,,,
7.56591,3,lp2,,,
7.56591,4,lp2,,,
7.56591,5,lp2,,,
8.19918,MOT_mc_stage_color_00,y-flash,,
8.89911,MOT_mc_stage_color_00,y-flash,,
9.63237,1,sp2-3,,,
9.63237,2,2-3,l1,,
9.63237,4,2-3,l1,,
9.63237,3,2-3,r1,,
9.63237,5,2-3,r1,,
10.13232,2,3-4,,,
10.13232,3,3-4,,,
10.13232,4,3-4,,,
10.13232,5,3-4,,,
10.63227,1,3-4,,,
10.63227,2,4-1,lb0,,
10.63227,4,4-1,lb0,,
10.63227,3,4-1,rb0,,
10.63227,5,4-1,rb0,,
10.898909999999999,1,,,,L0
10.898909999999999,2,,,,L0
10.898909999999999,3,,,,L0
10.898909999999999,4,,,,L0
10.898909999999999,5,,,,L0
10.898909999999999,MOT_mc_bg_black_00,b20,,
11.198879999999999,MOT_mc_light_center_00,ugoki1,,
11.198879999999999,MOT_mc_light_up_00,ugoki1,,
11.298869999999999,1,lp4,,,
11.56551,5,w1,,,
11.56551,4,w1,,,
11.56551,3,w1,,,
11.56551,2,w1,,,
12.032129999999999,2,lp1,,,
12.69873,3,lp1,,,
13.331999999999999,4,lp1,,,
13.931939999999999,5,lp1,,,
14.63187,1,4-1,,,
14.63187,2,1-2,,,
14.63187,3,1-2,,,
14.63187,4,1-2,,,
14.63187,5,1-2,,,
15.3318,1,1-2,,,
15.3318,2,2-3,,,
15.3318,3,2-3,,,
15.3318,4,2-3,,,
15.3318,5,2-3,,,
15.73176,1,,l1,,
15.73176,2,,l1,,
15.73176,3,,l1,,
15.73176,4,,l1,,
15.73176,5,,l1,,
16.09839,1,2-3,,,
16.09839,2,3-4,,,
16.09839,3,3-4,,,
16.09839,4,3-4,,,
16.09839,5,3-4,,,
16.46502,1,3-4,lb0,,
16.46502,2,4-1,lb0,,
16.46502,3,4-1,lb0,,
16.46502,4,4-1,lb0,,
16.46502,5,4-1,lb0,,
16.83165,1,,r1,,
16.83165,2,,r1,,
16.83165,3,,r1,,
16.83165,4,,r1,,
16.83165,5,,r1,,
17.19828,1,4-1,,,
17.19828,2,1-2,,,
17.19828,3,1-2,,,
17.19828,4,1-2,,,
17.19828,5,1-2,,,
17.564909999999998,1,,rb0,,
17.564909999999998,2,,rb0,,
17.564909999999998,3,,rb0,,
17.564909999999998,4,,rb0,,
17.564909999999998,5,,rb0,,
17.93154,1,1-2,,,
17.93154,2,2-3,,,
17.93154,3,2-3,,,
17.93154,4,2-3,,,
17.93154,5,2-3,,,
18.26484,1,sj2,,,
18.26484,2,sj3,,,
18.26484,3,sj3,,,
18.26484,4,sj3,,,
18.26484,5,sj3,,,
18.29817,MOT_mc_stage_color_00,y-flash,,
18.29817,MOT_mc_light_center_00,ugoki2,,
18.29817,MOT_mc_light_up_00,ugoki2,,
18.6648,5,sp3-4,,,
18.764789999999998,4,w3,,,
18.764789999999998,3,w3,,,
18.764789999999998,2,w3,,,
18.764789999999998,1,w2,,,
18.86478,2,sp3-4,,,
19.06476,3,sp3-4,,,
19.26474,4,sp3-4,,,
19.46472,1,sp2-3,,,
19.798019999999998,1,3-4,,,
19.798019999999998,2,4-1,,,
19.798019999999998,3,4-1,,,
19.798019999999998,4,4-1,,,
19.798019999999998,5,4-1,,,
19.93134,MOT_mc_light_center_00,ugoki1,,
19.93134,MOT_mc_light_up_00,ugoki1,,
19.997999999999998,MOT_mc_stage_color_00,b-flash,,
20.73126,5,w1,,,
20.73126,4,w1,,,
20.73126,3,w1,,,
20.73126,2,w1,,,
20.73126,1,w4,,,
20.83125,1,lp4,,,
21.93114,MOT_mc_stage_color_00,b-flash,,
21.96447,2,lp1,,,
22.6644,MOT_mc_stage_color_00,b-flash,,
22.6644,3,lp1,,,
23.39766,4,lp1,,,
23.430989999999998,MOT_mc_stage_color_00,b-flash,,
24.09759,5,lp1,,,
24.13092,MOT_mc_stage_color_00,b-flash,,
24.830849999999998,MOT_mc_stage_color_00,b-flash,,
24.830849999999998,1,4-1,,,
24.830849999999998,2,1-2,,,
24.830849999999998,3,1-2,,,
24.830849999999998,4,1-2,,,
24.830849999999998,5,1-2,,,
25.49745,MOT_mc_stage_color_00,b-flash,,
25.49745,MOT_mc_light_center_00,blink,,
25.49745,MOT_mc_light_up_00,blink,,
25.49745,1,,,,D40
25.49745,2,,,,D40
25.49745,3,,,,D40
25.49745,4,,,,D40
25.49745,5,,,,D40
25.49745,MOT_mc_bg_black_00,b20-65,,
25.49745,1,hj1,,,
25.49745,2,hj2,,,
25.49745,3,hj2,,,
25.49745,4,hj2,,,
25.49745,5,hj2,,,
26.36403,4,sj2,,,
26.36403,5,sj2,,,
26.59734,2,sj2,,,
26.59734,3,sj2,,,
26.73066,1,w1,,,
26.83065,1,sj1,,,
26.863979999999998,5,w2,,,
26.863979999999998,4,w2,,,
27.097289999999997,3,w2,,,
27.097289999999997,2,w2,,,
27.3306,1,w1,,,
27.463919999999998,1,1-2,,,
27.463919999999998,2,2-3,,,
27.463919999999998,3,2-3,,,
27.463919999999998,4,2-3,,,
27.463919999999998,5,2-3,,,
27.497249999999998,MOT_mc_stage_color_00,r-flash,,
27.497249999999998,1,,,,L0
27.497249999999998,2,,,,L0
27.497249999999998,3,,,,L0
27.497249999999998,4,,,,L0
27.497249999999998,5,,,,L0
27.497249999999998,MOT_mc_bg_black_00,b20,,
27.56391,MOT_mc_light_up_00,stay,,
27.56391,MOT_mc_light_center_00,stay,,
28.330499999999997,1,2-3,,,
28.330499999999997,2,3-4,,,
28.330499999999997,3,3-4,,,
28.330499999999997,4,3-4,,,
28.330499999999997,5,3-4,,,
28.39716,MOT_mc_stage_color_00,r-flash,,
29.26374,5,w4,,,
29.26374,4,w4,,,
29.26374,3,w4,,,
29.26374,2,w4,,,
29.26374,1,w3,,,
