time,lyrics,size
0,,
11.944,チャパ ! チャパ !,
13.983,,
17.604,冒険　ツアーだ　青春だ　極上の　夢を　目指しちゃえ,
22.902,欲しい　もの　いつも　サバイバル,
25.584,ノリだけじゃ　だめ　マジ　真剣で\n（イー・アール・サン・スー・ウー・リウ）,
28.615,かわいいだけじゃ　ものたんなぃなぃ　裏の一面身につけちゃって,
33.955,逆立ち柔軟なんでもオーラィ　無限くしゃみハクション　キャララララNo.1,
39.261,あっちへこっちへ旅して　足パンパン　ビッグな元気を補給だ　お口ア〜ン,
43.986,夢は　咲かせてなんぼのもんさ　強く強くキレイに咲くぞ。,
50.093,ヨスガを頼りにしてさぁ　さあいまこそ,
55.596,逆境　こそが　チャンス　だぜぃ　雨も嵐も,
61.262,さあ来ぃ ! さあ来ぃ !　体は張りまくり,
66.277,事情　なんて　乗り越えて　キミに会いたい,
71.920,会いたぃ ! 会いたぃ !　スットコ・ドッコィ !  !,
76.965,豊かな　ぬくもり　あふれ　キミの　願いが　羅針盤,
82.287,悲報？　上等 !　倒れても　走り続ける,
87.593,"未来　向かい,　さあ行こう ! 　印　つける　カレンダー",
92.934,夢を　目指す　シンデレラ　今日ここから !,
104.95,一生　一度　青春　だぜぃ　ピカピカ光れ,
110.593,探せ ! 探せ !　輝く未来をOh,
115.922,天下を取りに行くぜぃ　いざ　気合い　根性　満開　覚悟　情熱　全開,
132.605,おみしりおきっ。,
136.436,,
