 ,charapos,busid,busvalue,effectname,effecttime,effectvalue,panning,volume
0,,1,,MasterOut,0,1,,
0,,1,,BUS_0007,0,0.1,,
0,,2,,MasterOut,0,0,,
0,,2,,BUS_0007,0,0,,
0,,6,,MasterOut,0,1,,
0,,6,,BUS_0007,0,0.1,,
0.1,1,1,1,,,,0,0.52
0.2,2,2,1,,,,0,0
0.3,3,2,1,,,,0,0
0.4,4,1,1,,,,-12,0.37
0.5,5,1,1,,,,12,0.37
0.6,6,2,1,,,,0,0
0.7,7,2,1,,,,0,0
0.8,8,6,1,,,,0,0
0.9,9,6,1,,,,-8,0.38
1,10,6,1,,,,8,0.38
1.1,11,6,1,,,,0,0
1.2,12,6,1,,,,0,0
1.3,13,6,1,,,,-12,0.34
1.4,14,6,1,,,,12,0.34
17.786,8,6,1,,,,0,0.36
17.786,9,6,1,,,,-3,0.34
17.786,10,6,1,,,,3,0.34
17.786,11,6,1,,,,-9.6,0.28
17.786,12,6,1,,,,9.6,0.28
17.786,13,6,1,,,,-18,0.22
17.786,14,6,1,,,,18,0.22
25.867,7,2,1,,,,0,0
25.867,8,6,1,,,,0,0
25.867,9,6,1,,,,-8,0.4
25.867,10,6,1,,,,8,0.4
25.867,11,6,1,,,,0,0
25.867,12,6,1,,,,0,0
25.867,13,6,1,,,,-12,0.36
25.867,14,6,1,,,,12,0.36
31.509,1,1,1,,,,0,0.75
31.509,4,1,1,,,,0,0
31.509,5,1,1,,,,0,0
36.182,1,1,1,,,,0,0
36.182,5,1,1,,,,0,0.75
38.876,5,1,1,,,,0,0
38.876,4,1,1,,,,0,0.75
41.528,,2,,MasterOut,0,1,,
41.528,,2,,BUS_0007,0,0.1,,
41.732,2,2,1,,,,-8,0.29
41.732,3,2,1,,,,8,0.29
41.732,6,2,1,,,,-12,0.27
41.732,7,2,1,,,,12,0.27
42.788,1,1,1,,,,0,0.35
42.788,2,2,1,,,,-3,0.33
42.788,3,2,1,,,,3,0.33
42.788,4,1,1,,,,-9.6,0.29
42.788,5,1,1,,,,9.6,0.27
42.788,6,2,1,,,,-18,0.23
42.788,7,2,1,,,,18,0.23
43.502,9,6,1,,,,0,0
43.502,10,6,1,,,,0,0.75
43.502,13,6,1,,,,0,0
43.502,14,6,1,,,,0,0
44.617,1,1,1,,,,0,0.57
44.617,2,2,1,,,,0,0
44.617,3,2,1,,,,0,0
44.617,4,1,1,,,,-16,0.43
44.617,5,1,1,,,,16,0.43
44.617,6,2,1,,,,0,0
44.617,7,2,1,,,,0,0
46.648,9,6,1,,,,0,0.75
46.648,10,6,1,,,,0,0
50.062,1,1,1,,,,0,0
50.062,4,1,1,,,,0,0
50.062,5,1,1,,,,0,0
50.062,7,2,1,,,,0,0.75
52.963,2,2,1,,,,-8,0.36
52.963,3,2,1,,,,8,0.36
52.963,6,2,1,,,,-12,0.34
52.963,7,2,1,,,,12,0.34
53.162,9,6,1,,,,0,0
53.162,8,6,1,,,,0,0.53
53.162,11,6,1,,,,-18,0.39
53.162,12,6,1,,,,18,0.39
55.312,2,2,1,,,,0,0
55.312,3,2,1,,,,0,0
55.312,6,2,1,,,,0,0.75
55.312,7,2,1,,,,0,0
58.302,1,1,1,,,,0,0.53
58.302,4,1,1,,,,-18,0.39
58.302,5,1,1,,,,18,0.39
60.128,8,6,1,,,,0,0
60.128,9,6,1,,,,8,0.38
60.128,10,6,1,,,,-8,0.38
60.128,11,6,1,,,,0,0
60.128,12,6,1,,,,0,0
60.128,13,6,1,,,,12,0.34
60.128,14,6,1,,,,-12,0.34
63.265,1,1,1,,,,0,0.32
63.265,2,2,1,,,,-3,0.3
63.265,3,2,1,,,,3,0.3
63.265,4,1,1,,,,-9.6,0.26
63.265,5,1,1,,,,9.6,0.26
63.265,6,2,1,,,,-18,0.2
63.265,7,2,1,,,,18,0.2
69.72,1,1,1,,,,0,0.75
69.72,2,2,1,,,,0,0
69.72,3,2,1,,,,0,0
69.72,4,1,1,,,,0,0
69.72,5,1,1,,,,0,0
69.72,6,2,1,,,,0,0
69.72,7,2,1,,,,0,0
72.513,1,1,1,,,,0,0
72.513,4,1,1,,,,0,0.75
74.533,1,1,1,,,,0,0.5
74.533,4,1,1,,,,-18,0.36
74.533,5,1,1,,,,18,0.36
77.499,1,1,1,,,,0,0
77.499,4,1,1,,,,0,0
77.499,5,1,1,,,,0,0
77.499,2,2,1,,,,-8,0.36
77.499,3,2,1,,,,8,0.36
77.499,6,2,1,,,,-12,0.34
77.499,7,2,1,,,,12,0.34
80.785,2,2,1,,,,0,0
80.785,3,2,1,,,,0,0
80.785,6,2,1,,,,0,0
80.785,7,2,1,,,,0,0
80.785,5,1,1,,,,0,0.75
86.077,5,1,1,,,,0,0
86.077,2,2,1,,,,12,0.32
86.077,3,2,1,,,,-12,0.32
86.077,6,2,1,,,,12,0.32
86.077,7,2,1,,,,-12,0.32
86.755,8,6,1,,,,0,0.36
86.755,9,6,1,,,,-3,0.34
86.755,10,6,1,,,,3,0.34
86.755,11,6,1,,,,-9.6,0.3
86.755,12,6,1,,,,9.6,0.3
86.755,13,6,1,,,,-18,0.22
86.755,14,6,1,,,,18,0.22
93.646,8,6,1,,,,0,0.53
93.646,9,6,1,,,,0,0
93.646,10,6,1,,,,0,0
93.646,11,6,1,,,,-18,0.39
93.646,12,6,1,,,,18,0.39
93.646,13,6,1,,,,0,0
93.646,14,6,1,,,,0,0
102.902,1,1,1,,,,0,0.53
102.902,2,2,1,,,,0,0
102.902,3,2,1,,,,0,0
102.902,4,1,1,,,,-18,0.39
102.902,5,1,1,,,,18,0.39
102.902,6,2,1,,,,0,0
102.902,7,2,1,,,,0,0
106.411,1,1,1,,,,0,0
106.411,2,2,1,,,,-12,0.56
106.411,3,2,1,,,,12,0.56
106.411,4,1,1,,,,0,0
106.411,5,1,1,,,,0,0
109.223,2,2,1,,,,0,0
109.223,3,2,1,,,,0,0
109.223,6,2,1,,,,-12,0.56
109.223,7,2,1,,,,12,0.56
111.142,2,2,1,,,,12,0.32
111.142,3,2,1,,,,-12,0.32
111.142,6,2,1,,,,12,0.32
111.142,7,2,1,,,,-12,0.32
114.007,1,1,1,,,,0,0.53
114.007,2,2,1,,,,0,0
114.007,3,2,1,,,,0,0
114.007,4,1,1,,,,-18,0.39
114.007,5,1,1,,,,18,0.39
114.007,6,2,1,,,,0,0
114.007,7,2,1,,,,0,0
117.452,1,1,1,,,,0,0.34
117.452,2,2,1,,,,-3,0.32
117.452,3,2,1,,,,3,0.32
117.452,4,1,1,,,,-9.6,0.28
117.452,5,1,1,,,,9.6,0.28
117.452,6,2,1,,,,-18,0.22
117.452,7,2,1,,,,18,0.22
122.647,8,6,1,,,,0,0.36
122.647,9,6,1,,,,-3,0.34
122.647,10,6,1,,,,3,0.34
122.647,11,6,1,,,,-9.6,0.3
122.647,12,6,1,,,,9.6,0.3
122.647,13,6,1,,,,-18,0.22
122.647,14,6,1,,,,18,0.22
