time,lyrics,size
0,,
3,ミルクで乾杯～　砂糖混ぜたらあんま～い,
5.66,レンジでちんしてあったか～い,
7.2,Let's Go ぱ ぴ ぷ ぺ POP yo,
9.34,人生万歳～　この先10年安泰～,
12.04,盛れてバズったらはんぱな～い,
13.6,Let's Go ぱ ぴ ぷ ぺ POP,
15.17,ぱ ぴ ぷ ぺ POP! ぱ ぴ ぷ ぺ POP!,
17.53,ぱ ぴ ぷ ぺ Poppin'! Hoppin'!,
19,きゅんきゅんです　ピュンピュンです　るんるんです\nきゃっきゃーです　はっぴーです,
22.09,問題ないっす　半端ないっす　我々ディスコティックなバンビーナ,
25.37,テキトーです　イージーです　曖昧です　ずっとこうやって,
28.25,ぱ ぴ ぷ ぺ ぽ な感じで POPに生きていこう,
33.89,（ぱ ぴ ぷ ぺ POP! Hi! Hi!）,
44.35,毎日毎日パーリー　ピーポー Let me yeah! dancing!,
47.26,横ノリで縦ノリで悪ノリです（uh yeah）,
50.59,映画のキャストみたいに　ボンキュのボンな美バディ,
53.46,"弾けて smile, delight",
56.91,なんでスネてんの？（うるさい）\nなんで泣いてんの？（あっちいって）,
60.11,なんで？なんで？　だって、だって、女の子だもん,
63.2,なんで帰っちゃうの？（触んないで）\nなんで怒ってんの？,
65.85,あーんもうわかってよ ! 言わなくてもわかってよ ! 鈍感 !,
68.64,あ、ごめんやっぱ好きーーーー,
71.21,…めんどくさっ…,
72.72,きゅんきゅんです　ピュンピュンです　るんるんです\nきゃっきゃーです　はっぴーです,
75.84,問題ないっす　半端ないっす　我々ディスコティックなバンビーナ,
78.99,テキトーです　イージーです　曖昧です　ずっとこうやって,
81.93,ぱ ぴ ぷ ぺ ぽ な感じで POPに生きていこう,
86.98,最大級　最高級　最上級　ハイスペックな人生です,
90.15,アイラブユー　アイフォーユー　だけども君がいないと悲しいな,
93.36,ほんとはね　やっぱりねえ　結局ね　ずっとこうやって,
96.18,ぱ ぴ ぷ ぺ ぽ な感じでPOPに 生きていたい,
101.03,ぱ ぴ ぷ ぺ POP!,
102.71,きゅんきゅんです　ピュンピュンです　るんるんです\nきゃっきゃーです　はっぴーです,
105.96,問題ないっす　半端ないっす　我々ディスコティックなバンビーナ,
109.09,テキトーです　イージーです　曖昧です　ずっとこうやって,
112.02,ぱ ぴ ぷ ぺ ぽ な感じで POPに生きていこう,
115.55,ぱでぴでぽでぷでPOPにENJOY あれこれどれそれ楽しいね（Hi）,
121.74,ぱでぴでぽでぷでPOPにENJOY あれこれどれそれ楽しいね（Hi）,
128.07,ぱ ぴ ぷ ぺ POP! ぱ ぴ ぷ ぺ POP!,
130.41,"ぱ ぴ ぷ ぺ POP! ぱ ぴ ぷ ぺ Poppin', POP!",
137.56,,
