 ,charapos,busid,busvalue,effectname,effecttime,effectvalue,panning,volume
0,,1,,MasterOut,0,1,,
0,,1,,BUS_0007,0,0.1,,
0,,2,,MasterOut,0,0,,
0,,2,,BUS_0007,0,0,,
0,,3,,MasterOut,0,0,,
0,,3,,BUS_0007,0,0,,
0,,4,,MasterOut,0,0,,
0,,4,,BUS_0007,0,0,,
0,,5,,MasterOut,0,0,,
0,,5,,BUS_0007,0,0,,
0,,6,,MasterOut,0,1,,
0,,6,,BUS_0007,0,0,,
1,1,1,1,,,,12,0.43
2,2,1,1,,,,-12,0.43
3,3,3,1,,,,12,0.43
4,4,2,1,,,,12,0.43
5,5,3,1,,,,-12,0.43
6,6,5,1,,,,-12,0.43
7,7,5,1,,,,12,0.43
8,8,4,1,,,,0,0.47
9,9,2,1,,,,-12,0.43
10,10,4,1,,,,-18,0.32
11,11,6,1,,,,0,0
12,12,6,1,,,,0,0
13,13,6,1,,,,0,0.48
14,14,6,1,,,,0,0
15,15,6,1,,,,0,0.48
38.565,,1,,MasterOut,0.05,0,,
38.565,,1,,BUS_0007,0.2,0,,
38.803,,2,,MasterOut,0,1,,
38.803,,2,,BUS_0007,0,0.1,,
42.329,4,2,1,,,,12,0
42.329,9,2,1,,,,-12,0
42.329,,3,,MasterOut,0,1,,
42.329,,3,,BUS_0007,0,0.1,,
46.323,,2,,MasterOut,0.05,0,,
46.323,,2,,BUS_0007,0.2,0,,
46.323,13,6,1,,,,0,0
46.323,15,6,1,,,,0,0
46.323,11,6,1,,,,0,0.48
46.323,12,6,1,,,,0,0.48
47.609,,3,,MasterOut,0.05,0,,
47.609,,3,,BUS_0007,0.2,0,,
47.882,,4,,MasterOut,0,1,,
47.882,,4,,BUS_0007,0,0.1,,
47.882,9,4,1,,,,18,0.32
49.841,,4,,MasterOut,0.05,0,,
49.841,,4,,BUS_0007,0.2,0,,
50.152,,5,,MasterOut,0,1,,
50.152,,5,,BUS_0007,0,0.1,,
53.311,6,5,1,,,,-12,0
53.311,7,5,1,,,,12,0
53.311,,1,,MasterOut,0,1,,
53.311,,1,,BUS_0007,0,0.05,,
53.311,1,1,1,,,,0,0.49
53.311,2,1,1,,,,-9,0.34
53.311,3,1,1,,,,9,0.34
53.311,4,1,1,,,,18,0.26
53.311,5,1,1,,,,-18,0.26
56.656,,1,,MasterOut,0.05,0,,
56.656,,1,,BUS_0007,0.2,0,,
56.656,,5,,MasterOut,0.05,0,,
56.656,,5,,BUS_0007,0.2,0,,
57.634,,4,,MasterOut,0,1,,
57.634,,4,,BUS_0007,0,0.05,,
57.634,6,4,1,,,,0,0.47
57.634,7,4,1,,,,-9,0.32
57.634,8,4,1,,,,9,0.32
57.634,9,4,1,,,,18,0.24
57.634,10,4,1,,,,-18,0.24
62.154,,1,,MasterOut,0,1,,
62.154,,1,,BUS_0007,0,0.05,,
62.154,1,1,,,,,0,0.28
62.154,2,1,,,,,-9,0.26
62.154,3,1,,,,,9,0.26
62.154,4,1,,,,,18,0.22
62.154,5,1,,,,,-18,0.22
62.154,6,4,,,,,0,0.28
62.154,7,4,,,,,-9,0.26
62.154,8,4,,,,,9,0.26
62.154,9,4,,,,,18,0.22
62.154,10,4,,,,,-18,0.22
71.472,,4,,MasterOut,0.05,0,,
71.472,,4,,BUS_0007,0.2,0,,
71.472,1,1,1,,,,0,0.47
71.472,2,1,1,,,,-9,0.32
71.472,3,1,1,,,,9,0.32
71.472,4,1,1,,,,18,0.24
71.472,5,1,1,,,,-18,0.24
72.19,11,6,1,,,,0,0.47
72.19,12,6,1,,,,-3,0.47
72.19,13,6,1,,,,3,0.47
72.19,14,6,1,,,,-6,0.47
72.19,15,6,1,,,,6,0.47
78.392,,4,,MasterOut,0,1,,
78.392,,4,,BUS_0007,0,0.05,,
78.392,1,1,,,,,0,0.28
78.392,2,1,,,,,-9,0.26
78.392,3,1,,,,,9,0.26
78.392,4,1,,,,,18,0.22
78.392,5,1,,,,,-18,0.22
81.886,,4,,MasterOut,0.05,0,,
81.886,,4,,BUS_0007,0.2,0,,
81.886,11,6,1,,,,0,0.47
81.886,12,6,1,,,,-9,0.32
81.886,13,6,1,,,,9,0.32
81.886,14,6,1,,,,18,0.24
81.886,15,6,1,,,,-18,0.24
82.326,1,1,1,,,,0,0.46
82.326,2,1,1,,,,-3,0.46
82.326,3,1,1,,,,3,0.46
82.326,4,1,1,,,,-6,0.46
82.326,5,1,1,,,,6,0.46
86.478,1,1,1,,,,0,0.47
86.478,2,1,1,,,,-9,0.32
86.478,3,1,1,,,,9,0.32
86.478,4,1,1,,,,18,0.24
86.478,5,1,1,,,,-18,0.24
88.308,11,6,1,,,,0,0.46
88.308,12,6,1,,,,-3,0.46
88.308,13,6,1,,,,3,0.46
88.308,14,6,1,,,,-6,0.46
88.308,15,6,1,,,,6,0.46
88.862,,4,,MasterOut,0,1,,
88.862,,4,,BUS_0007,0,0.05,,
88.862,1,1,,,,,0,0.28
88.862,2,1,,,,,-9,0.26
88.862,3,1,,,,,9,0.26
88.862,4,1,,,,,18,0.22
88.862,5,1,,,,,-18,0.22
88.862,6,4,,,,,0,0.28
88.862,7,4,,,,,-9,0.26
88.862,8,4,,,,,9,0.26
88.862,9,4,,,,,18,0.22
88.862,10,4,,,,,-18,0.22
